SID,Familia,GeneroEspecies,NombreComun,OvinosAlpacas,Vacas,Llamas,2010obs,2011obs,TotalObs,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Gramineae (Poaceae),Festuca huamachucensis Infantes,,PD,PD,PD,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Gramineae (Poaceae),Festuca peruviana Infantes,Cebadilla cachi,D,PD,PD,8,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Gramineae (Poaceae),Festuca rigescens (Presl) Kunth,,PD,PD,PD,7,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Gramineae (Poaceae),Festuca rigidifolia Tovar,,PD,PD,PD,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Gramineae (Poaceae),Festuca weberauerii Pilger,Llullac cachi,PD,D,D,8,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Gramineae (Poaceae),Hordeum muticum Presl,Ucushpa chupan;Cola de ratón,MD,MD,MD,19,44,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Gramineae (Poaceae),Muhlembergia fastigiata (Presl) Henrad,Grama,MD,MD,MD,75,38,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Gramineae (Poaceae),Muhlembergia ligularis (Hackel) Hitchcock,Coccho pasto;Atun chiji,MD,PD,PD,161,340,501,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Gramineae (Poaceae),Muhlembergia peruviana (P.Beauvois) Steudel,Janan pasto;Cushu pajonal,MD,NC,PD,139,149,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Gramineae (Poaceae),Nasella pubiflora (Trinius et Ruprecht) Desvaux ,Plumilla;Tullma tullma,PD,PD,PD,10,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Gramineae (Poaceae),Paspalum lineispatha Mez.,Jirca wecta;Sogo champa,D,PD,PD,0,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Gramineae (Poaceae),Paspalum pilgerianum Chase,Jirca wecta;Sogo champa,D,PD,PD,25,21,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Gramineae (Poaceae),Paspalum pygmaeum Hackel,,MD,NC,D,13,30,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Gramineae (Poaceae),Paspalum tuberosum Mez.,Jara wecta,D,PD,PD,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Gramineae (Poaceae),Paspalum vigatum,,D,PD,PD,0,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Gramineae (Poaceae),Penisetum clandestinum Hoshstetter,Kikuyo;Grama,D,D,D,25,74,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Gramineae (Poaceae),Piptochaetum sp.,,PD,PD,PD,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Gramineae (Poaceae),Piptochaetum featherstonei (Hitchcook) Tóvar,Condorpa cebollan,PD,PD,PD,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Gramineae (Poaceae),Piptochaetum panicoides (Lam.) Desv.,Espiga ocsha;Condorpa cebollan,PD,PD,PD,1,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Gramineae (Poaceae),Poa aeguigluma Tóvar,Pacha pasto,D,PD,PD,33,114,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gramineae (Poaceae),Poa amnua Linneo,Shoclla;Ocsha champa,MD,D,D,132,163,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Gramineae (Poaceae),Poa aspesiflora Hack,Cocchu ocsha,PD,PD,PD,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Gramineae (Poaceae),Poa candamoana Pilger,Altu shoclla,MD,PD,PD,45,42,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Gramineae (Poaceae),Poa fibrifera Pilger,Ocsha,D,D,D,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Gramineae (Poaceae),Poa gilgiana Pilger,Machay shoclla,D,MD,MD,38,14,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Gramineae (Poaceae),Poa gymnatha,,D,MD,MD,28,14,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Gramineae (Poaceae),Poa infirma Kunth,Champa cora,D,PD,PD,6,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Gramineae (Poaceae),Poa ovata Tóvar,Patza champa,PD,PD,PD,13,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Gramineae (Poaceae),Poa spicigera Tóvar,Patza hueta;Shoclla;Ocsha champa,D,PD,PD,2,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
